game_id,game_date,home_team_id,away_team_id,home_score,away_score,status
663178,2022-04-07,CHC,MIL,5,4,Final
662766,2022-04-07,KC,CLE,3,1,Final
662021,2022-04-07,STL,PIT,9,0,Final
662571,2022-04-07,WSH,NYM,1,5,Final
661577,2022-04-07,ATL,CIN,3,6,Final
661042,2022-04-07,LAA,HOU,1,3,Final
663418,2022-04-07,ARI,SD,4,2,Final
661333,2022-04-08,NYY,BOS,,,Postponed
661750,2022-04-08,MIN,SEA,,,Postponed
661333,2022-04-08,NYY,BOS,6,5,Final
662888,2022-04-08,DET,CWS,5,4,Final
661131,2022-04-08,PHI,OAK,9,5,Final
661918,2022-04-08,TB,BAL,2,1,Final
662933,2022-04-08,COL,LAD,3,5,Final
661750,2022-04-08,MIN,SEA,1,2,Final
662124,2022-04-08,SF,MIA,6,5,Final
662559,2022-04-08,WSH,NYM,3,7,Final
661782,2022-04-08,TOR,TEX,10,8,Final
661576,2022-04-08,ATL,CIN,7,6,Final
661041,2022-04-08,LAA,HOU,6,13,Final
663417,2022-04-08,ARI,SD,0,3,Final
663147,2022-05-30,CHC,MIL,,,Postponed
661917,2022-04-09,TB,BAL,5,3,Final
662864,2022-04-09,DET,CWS,2,5,Final
661756,2022-04-09,MIN,SEA,3,4,Final
662020,2022-04-09,STL,PIT,6,2,Final
663205,2022-04-09,CHC,MIL,9,0,Final
661803,2022-04-09,TOR,TEX,4,3,Final
661130,2022-04-09,PHI,OAK,4,2,Final
662123,2022-04-09,SF,MIA,1,2,Final
661332,2022-04-09,NYY,BOS,4,2,Final
662765,2022-04-09,KC,CLE,1,0,Final
662588,2022-04-09,WSH,NYM,0,5,Final
661575,2022-04-09,ATL,CIN,2,1,Final
662931,2022-04-09,COL,LAD,3,2,Final
663404,2022-04-09,ARI,SD,2,5,Final
661040,2022-04-09,LAA,HOU,2,0,Final
661129,2022-04-10,PHI,OAK,1,4,Final
661916,2022-04-10,TB,BAL,8,0,Final
662887,2022-04-10,DET,CWS,1,10,Final
662570,2022-04-10,WSH,NYM,4,2,Final
661573,2022-04-10,ATL,CIN,3,6,Final
661802,2022-04-10,TOR,TEX,6,12,Final
662755,2022-04-10,KC,CLE,3,17,Final
661738,2022-04-10,MIN,SEA,10,4,Final
662019,2022-04-10,STL,PIT,4,9,Final
663204,2022-04-10,CHC,MIL,4,5,Final
662934,2022-04-10,COL,LAD,9,4,Final
662122,2022-04-10,SF,MIA,3,2,Final
661039,2022-04-10,LAA,HOU,1,4,Final
663395,2022-04-10,ARI,SD,5,10,Final
661316,2022-04-10,NYY,BOS,3,4,Final
662754,2022-04-11,KC,CLE,7,10,Final
663403,2022-04-11,BAL,MIL,2,0,Final
662042,2022-04-11,TEX,COL,4,6,Final
662863,2022-04-11,DET,BOS,3,1,Final
661915,2022-04-11,TB,OAK,2,13,Final
661637,2022-04-11,PHI,NYM,5,4,Final
661315,2022-04-11,NYY,TOR,0,3,Final
661572,2022-04-11,ATL,WSH,2,11,Final
661754,2022-04-11,MIN,SEA,4,0,Final
661036,2022-04-11,LAA,MIA,6,2,Final
