game_date,home_team,away_team,home_moneyline,away_moneyline,total_line,market_home_prob
2026-05-17,TB,MIA,-156,132,7.5,0.5857
2026-05-17,ATL,BOS,-162,136,8.5,0.5934
2026-05-17,WSH,BAL,110,-130,10.0,0.4573
2026-05-17,PIT,PHI,-138,118,7.0,0.5583
2026-05-17,CLE,CIN,-168,142,8.5,0.6027
2026-05-17,DET,TOR,108,-126,7.5,0.463
2026-05-17,NYM,NYY,-116,-102,8.5,0.5154
2026-05-17,CWS,CHC,114,-134,8.5,0.4493
2026-05-17,HOU,TEX,100,-118,8.0,0.4802
2026-05-17,MIN,MIL,104,-122,7.5,0.4715
2026-05-17,STL,KC,-116,-102,9.0,0.5154
2026-05-17,COL,ARI,126,-148,10.5,0.4258
2026-05-17,Athletics,SF,-148,126,9.5,0.5742
2026-05-17,LAA,LAD,120,-142,9.5,0.4365
2026-05-17,SEA,SD,-162,136,7.5,0.5934
