date,time,away_team,home_team,away_odds,home_odds,away_score,home_score
01 Nov 2025,,Los Angeles Dodgers,Toronto Blue Jays,-135,+120,5,4
31 Oct 2025,,Los Angeles Dodgers,Toronto Blue Jays,-141,+120,3,1
29 Oct 2025,,Toronto Blue Jays,Los Angeles Dodgers,+170,-200,6,1
28 Oct 2025,,Toronto Blue Jays,Los Angeles Dodgers,+170,-200,6,2
27 Oct 2025,,Toronto Blue Jays,Los Angeles Dodgers,+165,-200,5,6
25 Oct 2025,,Los Angeles Dodgers,Toronto Blue Jays,,,5,1
24 Oct 2025,,Los Angeles Dodgers,Toronto Blue Jays,-149,+129,4,11
20 Oct 2025,,Seattle Mariners,Toronto Blue Jays,+114,-130,3,4
19 Oct 2025,,Seattle Mariners,Toronto Blue Jays,+100,-120,2,6
17 Oct 2025,,Milwaukee Brewers,Los Angeles Dodgers,+170,-204,1,5
17 Oct 2025,,Toronto Blue Jays,Seattle Mariners,-110,-105,2,6
16 Oct 2025,,Toronto Blue Jays,Seattle Mariners,+114,-130,8,2
16 Oct 2025,,Milwaukee Brewers,Los Angeles Dodgers,+140,-164,1,3
15 Oct 2025,,Toronto Blue Jays,Seattle Mariners,+114,-130,13,4
14 Oct 2025,,Los Angeles Dodgers,Milwaukee Brewers,-120,+100,5,1
13 Oct 2025,,Los Angeles Dodgers,Milwaukee Brewers,-154,+129,2,1
13 Oct 2025,,Seattle Mariners,Toronto Blue Jays,+104,-125,10,3
12 Oct 2025,,Seattle Mariners,Toronto Blue Jays,+145,-167,3,1
11 Oct 2025,,Chicago Cubs,Milwaukee Brewers,+114,-135,1,3
10 Oct 2025,,Detroit Tigers,Seattle Mariners,-120,+100,2,3
09 Oct 2025,,Milwaukee Brewers,Chicago Cubs,-115,+100,0,6
09 Oct 2025,,Philadelphia Phillies,Los Angeles Dodgers,+120,-135,1,2
08 Oct 2025,,Philadelphia Phillies,Los Angeles Dodgers,+154,-182,8,2
08 Oct 2025,,Toronto Blue Jays,New York Yankees,+145,-169,5,2
08 Oct 2025,,Milwaukee Brewers,Chicago Cubs,-105,-110,3,4
08 Oct 2025,,Seattle Mariners,Detroit Tigers,-110,-110,3,9
07 Oct 2025,,Toronto Blue Jays,New York Yankees,+145,-169,6,9
07 Oct 2025,,Seattle Mariners,Detroit Tigers,-135,+120,8,4
06 Oct 2025,,Chicago Cubs,Milwaukee Brewers,+120,-135,3,7
06 Oct 2025,,Los Angeles Dodgers,Philadelphia Phillies,-110,-110,4,3
05 Oct 2025,,Detroit Tigers,Seattle Mariners,-149,+125,2,3
05 Oct 2025,,New York Yankees,Toronto Blue Jays,-154,+129,7,13
04 Oct 2025,,Detroit Tigers,Seattle Mariners,+165,-189,3,2
04 Oct 2025,,Los Angeles Dodgers,Philadelphia Phillies,-105,-115,5,3
04 Oct 2025,,New York Yankees,Toronto Blue Jays,+100,-118,1,10
04 Oct 2025,,Chicago Cubs,Milwaukee Brewers,+120,-141,3,9
02 Oct 2025,,Boston Red Sox,New York Yankees,+129,-149,0,4
02 Oct 2025,,San Diego Padres,Chicago Cubs,+100,-115,1,3
02 Oct 2025,,Detroit Tigers,Cleveland Guardians,+110,-130,6,3
01 Oct 2025,,Cincinnati Reds,Los Angeles Dodgers,+220,-270,4,8
01 Oct 2025,,Boston Red Sox,New York Yankees,+179,-200,3,4
01 Oct 2025,,San Diego Padres,Chicago Cubs,-105,-105,3,0
01 Oct 2025,,Detroit Tigers,Cleveland Guardians,+114,-130,1,6
30 Sep 2025,,Cincinnati Reds,Los Angeles Dodgers,+175,-200,5,10
30 Sep 2025,,Boston Red Sox,New York Yankees,+120,-130,3,1
30 Sep 2025,,San Diego Padres,Chicago Cubs,+114,-130,1,3
30 Sep 2025,,Detroit Tigers,Cleveland Guardians,-169,+145,2,1
28 Sep 2025,,St.Louis Cardinals,Chicago Cubs,+129,-149,0,2
28 Sep 2025,,Pittsburgh Pirates,Atlanta Braves,+160,-189,1,4
